Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0628601,2017-03-14,2017-03-14,,Thandie Newton,Crash,1972-11-06
2,nm0206257,2017-03-14,2017-03-14,,Rosario Dawson,Rent,1979-05-09
3,nm0519456,2017-03-14,2017-03-14,,Eva Longoria,Desperate Housewives,1975-03-15
4,nm0004851,2017-03-14,2017-03-14,,Penélope Cruz,Vicky Cristina Barcelona,1974-04-28
5,nm0000161,2017-03-14,2017-03-14,,Salma Hayek,Frida,1966-09-02
6,nm0000182,2017-03-14,2017-03-14,,Jennifer Lopez,Gigli,1969-07-24
7,nm0004695,2017-03-14,2017-03-14,,Jessica Alba,Fantastic Four,1981-04-28
8,nm0328709,2017-03-14,2017-03-14,,Meagan Good,Brick,1981-08-08
9,nm1745736,2017-03-14,2017-03-14,,Paula Patton,Precious,1975-12-05
10,nm2110418,2017-03-14,2017-03-14,,Gemma Chan,Eternals,1982-11-29
11,nm2812026,2017-03-14,2017-03-14,,Nathalie Emmanuel,Fast & Furious 7,1989-03-02
12,nm3547504,2017-03-14,2017-03-14,,Jade Asha,The Intent,
13,nm0706787,2017-03-14,2017-03-14,,Aishwarya Rai Bachchan,Jodhaa Akbar,1973-11-01
14,nm0000932,2017-03-14,2017-03-14,,Halle Berry,Catwoman,1966-08-14
15,nm0578949,2017-03-14,2017-03-14,,Eva Mendes,Hitch,1974-03-05
16,nm0000899,2017-03-14,2017-03-14,,Monica Bellucci,Malèna,1964-09-30
17,nm0757855,2017-03-14,2017-03-14,,Zoe Saldana,Avatar,1978-06-19
18,nm0735442,2017-03-14,2017-03-14,,Michelle Rodriguez,Avatar,1978-07-12
19,nm1411125,2017-03-14,2017-03-14,,Selena Gomez,Monte Carlo,1992-07-22
20,nm0005517,2017-03-14,2017-03-14,,Gabrielle Union,Bring It On,1972-10-29
