Name,Gender
Viggo Mortensen,2
Mahershala Ali,2
Linda Cardellini,1
Dimiter D. Marinov,2
Mike Hatton,0
Iqbal Theba,2
Sebastian Maniscalco,2
Von Lewis,0
P. J. Byrne,2
Montrel Miller,0
Tom Virtue,2
Don Stark,2
Brian Stepanek,2
Dennis W. Hall,2
Randal Gonzalez,0
Maggie Nixon,1
Brian Distance,2
Don DiPetta,0
Frank Vallelonga,0
Nick Vallelonga,2
Suehyla El-Attar,1
Jenna Laurenzo,1
Johnny Williams,2
Joe Cortese,2
David Kallaway,2
Paul Sloan,2
Anthony Mangano,2
David An,2
Ninja N. Devoe,0
Jim Klock,2
Daniel Greene,2
Martin Bats Bradford,2
Tracy Brotherton,0
William E. Harris,0
Geraldine Singer,1
Rebecca Chulew,1
Emily LaGroue,1
Ricky Muse,0
Leslie Castay,1
Jon Michael Davis,2
Harrison Stone,2
Gralen Bryant Banks,2
Brett Beoubay,0
Quinn Duffy,0
Mike Young,0
Kenneth Israel,0
Brian Hayes Currie,2
Jeffrey Klemmer,2
Kate Kuen,0
Elton LeBlanc,2
Craig DiFrancia,0
Cynthia LeBlanc,1
Shane Partlow,2
Jared Drennan,0
Chadwick Boseman,2
Michael B. Jordan,2
Lupita Nyong'o,1
Danai Gurira,1
Martin Freeman,2
Daniel Kaluuya,2
Letitia Wright,1
Winston Duke,2
Sterling K. Brown,2
Angela Bassett,1
Forest Whitaker,2
Andy Serkis,2
Florence Kasumba,1
John Kani,2
David S. Lee,2
Nabiyah Be,1
Isaach De Bankolé,2
Connie Chiume,1
Dorothy  Steel,0
Danny Sapani,2
Sydelle Noel,1
Marija Abney,1
Zola Williams,1
Janeshia Adams-Ginyard,1
Maria Hippolyte,1
Marie Mouroum,1
Jénel Stevens,1
Sope Aluko,1
Stan Lee,2
Atandwa Kani,2
Ashton Tyler,2
Denzel Whitaker,2
Shaunette Renée Wilson,1
Christine Hollingsworth,1
Lucy Hockings,0
Bambadjan Bamba,2
