Title|Bechdel
American Terrorist:  April 20, 1999|True
Honey Boy|False
Like a Boss|True
The Marijuana Conspiracy|True
1917|False
A Beautiful Day in the Neighborhood|False
A Dog's Journey|True
Abominable|False
Ad Astra|False
The Aeronauts|True
After|True
Aladdin|False
Alita: Battle Angel|True
Always Be My Maybe|True
American Woman|True
Animals|True
Anna|True
Annabelle Comes Home|True
Anya|True
The Art of Racing in the Rain|False
Article 15|False
Avengers: Endgame|True
Bacurau|False
Begotten III: Jesus Wept|False
Booksmart|True
Brightburn|False
Brittany Runs A Marathon|True
Canceled|True
Captain Marvel|True
Cats|True
Charlie's Angels|True
Clementine|True
Close|True
Cold Pursuit|False
Cosmos|False
Crawl|True
The Curse of La Llorona|True
Dark Phoenix|True
Descendants 3|True
Doctor Sleep|True
Dora and the Lost City of Gold|True
Downton Abbey|True
Effigy – Poison and the City|True
The Farewell|True
Fast & Furious Presents: Hobbs & Shaw|False
Fighting with My Family|True
Five Feet Apart|True
For Sama|True
Ford v Ferrari|False
Frozen 2|True
Gemini Man|False
Gisaengchung|True
Godzilla: King of the Monsters|True
The Goldfinch|False
Good Boys|False
Guava Island|False
Gully Boy|False
Happy Death Day 2U|True
Harriet|True
Her Smell|True
How to Train Your Dragon: The Hidden World|False
The Hustle|True
Hustlers|True
I Am Mother|True
In the Tall Grass|False
The Irishman|False
Isn't It Romantic|False
It Chapter 2|True
Jawline|False
Jeanne|True
John Wick: Chapter 3 - Parabellum|False
Jojo Rabbit|True
Joker|True
The Kid Who Would Be King|False
Kim Possible|True
The King|False
Klaus|False
The Knight Before Christmas|True
Knives Out|True
Last Christmas|True
Late Night|True
The Laundromat|True
Le chant du loup|False
The Lego Movie 2: The Second Part|True
Les Miserables|True
The Lighthouse|False
The Lion King|False
Little Joe|True
Little Women|True
Luce|True
Lucy in the Sky|True
Ma|True
Maleficent: Mistress of Evil|True
Marriage Story|False
Midsommar|True
Midway|False
Miss Bala|True
Monos|True
Motherless Brooklyn|True
My Little Pony: Equestria Girls: Spring Breakdown|True
Nancy Drew and the Hidden Staircase|True
Once Upon a Time ... In Hollywood|True
Pentagram|False
The Perfect Date|False
Pet Sematary|True
Pokemon Detective Pikachu|True
Polar|False
Portrait of a Lady on Fire|True
Queen & Slim|False
Rambo: Last Blood|False
Ready or Not|True
Rim of the World|False
Satanic Panic|True
Scary Stories to Tell in the Dark|True
See You Yesterday|True
Serenity|True
Shazam!|True
The Shiny Shrimps|False
The Silence|True
Someone Great|True
Soni|True
Spider-Man: Far from Home|False
Star Wars: Episode IX - The Rise of Skywalker|True
Steven Universe: The Movie|True
