Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000136,2018-10-19,2018-10-19,"English, along with small amounts of Irish, Scots-Irish/Northern Irish, Scottish, Welsh, French, French-Canadian, Dutch, Flemish Belgian, and German, as well as 3/2048 African",Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
2,nm0000138,2018-10-19,2018-10-19,"*Italian, German (father)
*German, Russian (mother)",Leonardo DiCaprio,Inception,1974-11-11
3,nm0000168,2018-10-19,2018-10-19,"African-American, likely some English",Samuel L. Jackson,Pulp Fiction,1948-12-21
4,nm0000008,2018-10-19,2018-10-19,"English, Irish, German, Dutch, French Huguenot, Welsh, Scottish",Marlon Brando,Apocalypse Now,1924-04-03
5,nm0000123,2018-10-19,2018-10-19,"Irish, English, and German, with more distant Scots-Irish/Northern Irish, Scottish, and Welsh, and remote French Huguenot and Dutch",George Clooney,Michael Clayton,1961-05-06
6,nm0004266,2018-10-19,2018-10-19,"*Irish, French, English, German (father)
*Irish (mother)",Anne Hathaway,Les Misérables,1982-11-12
7,nm0000702,2018-10-19,2018-10-19,"English, Irish, Scottish, Welsh, distant Dutch",Reese Witherspoon,Wild,1976-03-22
8,nm2309517,2018-10-19,2018-10-19,"Ashkenazi Jewish [one eighth], German, English, Scots-Irish/Northern Irish, Scottish, 1/16th or 1/32 Russian [approximately], 1/32 Polish, 1/32 Danish, Swiss-German, 1/128th Greek, 1/512th Cherokee Native American",Armie Hammer,The Social Network,1986-08-28
9,nm0005132,2018-10-19,2018-10-19,"English, Irish, Scottish, Welsh, 1/16th Jewish [Ashkenazi and Sephardi] (matrilineal)",Heath Ledger,Brokeback Mountain,1979-04-04
10,nm0424060,2018-10-19,2018-10-19,"*Danish, Swedish (father)
*Ashkenazi Jewish (mother)",Scarlett Johansson,Her,1984-11-22
11,nm0413168,2018-10-19,2018-10-19,"*62.5% English
*25% Scottish
*12.5% Greek

",Hugh Jackman,Les Misérables,1968-10-12
12,nm0000151,2018-10-19,2018-10-19,"African-American, more distant English",Morgan Freeman,Se7en,1937-06-01
13,nm3229685,2018-10-19,2018-10-19,"English, with some Scottish, Northern Irish, Welsh, and Dutch, as well as distant Spanish (roughly 1/128th), German, French, and European Royal",Kit Harington,Game of Thrones,1986-12-26
14,nm1567113,2018-10-19,2018-10-19,"*French, Dutch, English, Scots-Irish/Northern Irish, Scottish, Welsh, Irish (mother)
*Basque, Castilian/Spanish, Greek, English, and German (likely biological father)",Jessica Chastain,Zero Dark Thirty,1977-03-24
15,nm0165101,2018-10-19,2018-10-19,"1/8th Basque, 1/8th Ashkenazi Jewish (matrilineal), as well as German, English, French, Irish, Scottish, Scots-Irish/Northern Irish, remote Dutch",Patricia Clarkson,The Green Mile,1959-12-29
16,nm0000158,2018-10-19,2018-10-19,"*English, some Cornish, more distant German (father)
*Portuguese (mother)",Tom Hanks,Cast Away,1956-07-09
17,nm0416673,2018-10-19,2018-10-19,"*German (father)
*likely at least partially Ashkenazi Jewish (mother)",Kevin James,Paul Blart: Mall Cop,1965-04-26
18,nm1940449,2018-10-19,2018-10-19,"*Ashkenazi Jewish (father)
*English (mother)",Andrew Garfield,The Social Network,1983-08-20
19,nm0001426,2018-10-19,2018-10-19,"*Gujarati Indian (father)
*English (maternal grandmother)
*uncertain, possibly Ashkenazi Jewish (maternal grandfather)",Ben Kingsley,Sexy Beast,1943-12-31
20,nm1078479,2018-10-19,2018-10-19,"*Italian (father)
*French-Canadian, English (mother)",John Cena,Bumblebee,1977-04-23
21,nm0000658,2018-10-19,2018-10-19,"*German, including Swiss-German (father)
*English, German, Irish, Scots-Irish/Northern Irish, Scottish, remote French and Swedish (mother)",Meryl Streep,Out of Africa,1949-06-22
22,nm2728156,2018-10-19,2018-10-19,"Dutch, English, French, Irish, German, Scots-Irish (Northern Irish), Scottish, Swiss-German, Welsh, as well as distant Belgian (Walloon), Cornish, Danish, Mohawk Native American, Norwegian, and Swedish",Grace Potter,Tangled,1983-06-20
23,nm0000255,2018-10-19,2018-10-19,"English, Irish, German, Scottish, Scots-Irish/Northern Irish, distant French and Swiss-German, remote Swedish and Welsh",Ben Affleck,Argo,1972-08-15
24,nm0000125,2018-10-19,2018-10-19,"Scottish, Irish",Sean Connery,The Untouchables,1930-08-25
25,nm0000664,2018-10-19,2018-10-19,"English, along with Irish and Scottish, possibly Dutch",Patrick Swayze,Dirty Dancing,1952-08-18
26,nm2225369,2018-10-19,2018-10-19,"English, German, Irish, Scottish, remote French",Jennifer Lawrence,The Hunger Games,1990-08-15
27,nm0000346,2018-10-19,2018-10-19,"*56.25% German (with smaller amounts of English and Swiss-German)
*25% Norwegian
*12.5% Irish
*6.25% Swiss-French (approximately)",Macaulay Culkin,Home Alone,1980-08-26
28,nm0000620,2018-10-19,2018-10-19,"*Irish, German (father)
*French-Canadian, English, small amount of German (mother)",Mickey Rourke,The Wrestler,1952-09-16
29,nm0186505,2018-10-19,2018-10-19,"*62.5% German [with more distant Swiss-German]
*25% Irish
*12.5% Ashkenazi Jewish",Bryan Cranston,Breaking Bad,1956-03-07
30,nm0913488,2018-10-19,2018-10-19,"African-American, African-Jamaican (African, as well as some English, Scottish, Native American)",Kerry Washington,Django Unchained,1977-01-31
31,nm0000221,2018-10-19,2018-10-19,"Galician Spanish (paternal grandfather), Irish, English, Scottish, possibly other",Charlie Sheen,Two and a Half Men,1965-09-03
32,nm0000358,2018-10-19,2018-10-19,"*English, Northern Irish, remote Welsh (father)
*Ashkenazi Jewish (mother)",Daniel Day-Lewis,There Will Be Blood,1957-04-29
33,nm0350453,2018-10-19,2018-10-19,"*father ? Swedish, English, Swiss-German, German, distant Welsh and French
*mother ? Ashkenazi Jewish",Jake Gyllenhaal,Nightcrawler,1980-12-19
34,nm0000134,2018-10-19,2018-10-19,"Italian (paternal grandfather), Irish, German, Dutch, small amounts of English and French Huguenot",Robert De Niro,Cape Fear,1943-08-17
35,nm0000518,2018-10-19,2018-10-19,"*Croatian (father)
*French-Canadian/French, English, German, Scottish (mother)",John Malkovich,In the Line of Fire,1953-12-09
36,nm0000113,2018-10-19,2018-10-19,"*English, Irish, German, Swiss-German, French (father)
*German (mother)",Sandra Bullock,The Proposal,1964-07-26
37,nm0000513,2018-10-19,2018-10-19,"Scottish, English, smaller amounts of French/Cajun, Irish, Welsh, Swiss-German, and Dutch, 1/64th Spanish, 1/512 Choctaw Native American",William H. Macy,Fargo,1950-03-13
38,nm0001674,2018-10-19,2018-10-19," African-American (45% from Upper Guinea, 30% from Benin and western Nigeria, and 25% from the Congo-Angola region), some English",Chris Rock,Top Five,1965-02-07
39,nm2368789,2018-10-19,2018-10-19,"*37.5% African-American
*12.5% African-Bahamian
*50% Ashkenazi Jewish",Zoë Kravitz,Mad Max: Fury Road,1988-12-01
40,nm0000637,2018-10-19,2018-10-19,"African-American (including, possibly, Tuareg)",Tupac Shakur,Poetic Justice,1971-06-16
41,nm0004695,2018-10-19,2018-10-19,"*Mexican, including Spanish, Indigenous Mexican/Mayan, and distant Sephardi Jewish (father)
*Danish, Welsh, German, English, Scottish, Scots-Irish/Northern Irish, French (mother)",Jessica Alba,Fantastic Four,1981-04-28
42,nm0000450,2018-10-19,2018-10-19," Irish, English, German, Dutch, as well as 1/1024th Polish",Philip Seymour Hoffman,The Master,1967-07-23
43,nm0000210,2018-10-19,2018-10-19,"English, German, Swedish, Irish, Scottish, Welsh, remote French",Julia Roberts,Pretty Woman,1967-10-28
44,nm0000760,2018-10-19,2018-10-19,"Finland-Swedish (paternal grandfather), English, German, Scottish, French-Canadian, Irish",Richard Dean Anderson,Stargate SG-1,1950-01-23
45,nm1475594,2018-10-19,2018-10-19,"English, some Scots-Irish/Northern Irish and Irish, distant Scottish, German, and Welsh, remote French",Channing Tatum,21 Jump Street,1980-04-26
46,nm1165110,2018-10-19,2018-10-19,"Dutch (maternal grandfather), English, Irish, 1/16th German, 1/16th Scottish",Chris Hemsworth,The Avengers,1983-08-11
