ID,Title,Cast,Budget,Keywords,Bechdel Pass
tt6966692,Green Book,"[('Viggo Mortensen', 2), ('Mahershala Ali', 1), ('Linda Cardellini', 3), ('Dimiter D. Marinov', 30), ('Mike Hatton', 33), ('Iqbal Theba', 14), ('Sebastian Maniscalco', 5), ('Von Lewis', 72), ('P. J. Byrne', 13), ('Montrel Miller', 73), ('Tom Virtue', 8), ('Don Stark', 4), ('Brian Stepanek', 9), ('Dennis W. Hall', 74), ('Randal Gonzalez', 75), ('Maggie Nixon', 76), ('Brian Distance', 42), ('Don DiPetta', 38), ('Frank Vallelonga', 71), ('Nick Vallelonga', 31), ('Suehyla El-Attar', 28), ('Jenna Laurenzo', 40), ('Johnny Williams', 22), ('Joe Cortese', 10), ('David Kallaway', 11), ('Paul Sloan', 12), ('Anthony Mangano', 19), ('David An', 23), ('Ninja N. Devoe', 15), ('Jim Klock', 16), ('Daniel Greene', 17), ('Martin Bats Bradford', 18), ('Tracy Brotherton', 21), ('William E. Harris', 24), ('Geraldine Singer', 25), ('Rebecca Chulew', 26), ('Emily LaGroue', 27), ('Ricky Muse', 29), ('Leslie Castay', 32), ('Jon Michael Davis', 34), ('Harrison Stone', 35), ('Gralen Bryant Banks', 36), ('Brett Beoubay', 37), ('Quinn Duffy', 39), ('Mike Young', 41), ('Kenneth Israel', 43), ('Brian Hayes Currie', 44), ('Jeffrey Klemmer', 45), ('Kate Kuen', 46), ('Elton LeBlanc', 47), ('Craig DiFrancia', 20), ('Cynthia LeBlanc', 48), ('Shane Partlow', 49), ('Jared Drennan', 50)]",23000000,"['southern usa', 'friendship', 'racism', 'pianist', 'driver', 'lgbt', 'music tour', '1960s', 'roadtrip']",False
tt1825683,Black Panther,"[('Chadwick Boseman', 0), ('Michael B. Jordan', 4), (""Lupita Nyong'o"", 5), ('Danai Gurira', 30), ('Martin Freeman', 38), ('Daniel Kaluuya', 33), ('Letitia Wright', 35), ('Winston Duke', 31), ('Sterling K. Brown', 39), ('Angela Bassett', 36), ('Forest Whitaker', 32), ('Andy Serkis', 2), ('Florence Kasumba', 34), ('John Kani', 41), ('David S. Lee', 65), ('Nabiyah Be', 70), ('Isaach De Bankolé', 44), ('Connie Chiume', 81), ('Dorothy  Steel', 197), ('Danny Sapani', 198), ('Sydelle Noel', 64), ('Marija Abney', 199), ('Zola Williams', 204), ('Janeshia Adams-Ginyard', 200), ('Maria Hippolyte', 202), ('Marie Mouroum', 208), ('Jénel Stevens', 203), ('Sope Aluko', 48), ('Stan Lee', 37), ('Atandwa Kani', 42), ('Ashton Tyler', 206), ('Denzel Whitaker', 207), ('Shaunette Renée Wilson', 43), ('Christine Hollingsworth', 205), ('Lucy Hockings', 366), ('Bambadjan Bamba', 45), ('Roland Kilumbu', 58), ('Francesca Faridany', 57), ('Mark Ashworth', 67), ('Seth Carr', 52), ('Jeremy Sample', 47), ('Alexis Rhee', 51), ('Alex Hibbert', 209), ('Trevor Noah', 369), ('Sebastian Stan', 196), ('Tahseen Ghauri', 56), ('Danny Chung', 61), ('Shad Gaspard', 69), ('William Cowboy Reed', 90), ('Michael David Yuhl', 50), ('Elizabeth Elkins', 49), ('Raven Wynn', 46), ('Amechi Okocha', 53), ('Tony Sears', 55), ('Timothy Carr', 59), ('Apollo GT', 60), ('James Siderits', 62), ('Travis Love', 66), ('Lidya Jewett', 68), ('Alona Leoine', 71), ('Kinley Fleurejuste', 72), ('Ofu Obekpa', 74), ('Michael R. Ciminna', 73), ('John Y Lee', 75), ('Byron Coolie', 76), ('William Walker', 77), ('Joseph Akharoh Jr.', 78), ('Stanley Aughtry', 79), ('Raenen Golez', 80), ('Leo De Rivera', 82), ('Tevin Beech', 84), ('Tari Omoro', 83), ('Andrea Antonio Canal', 85), ('David Dunston', 86), ('Josue Louis-Charles', 88), ('Isaac Phillips', 89), ('Jamel Chambers', 54), ('Michael Christopher Rodney', 370)]",200000000,"['africa', 'superhero', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",True
tt7349662,BlacKkKlansman,"[('John David Washington', 11), ('Adam Driver', 6), ('Laura Harrier', 7), ('Topher Grace', 8), ('Jasper Pääkkönen', 15), ('Alec Baldwin', 40), ('Harry Belafonte', 41), ('Danny Hoch', 71), ('Robert John Burke', 9), ('Ashlie Atkinson', 38), ('Jared Johnston', 53), ('Michael J. Burg', 14), ('Ato Blankson-Wood', 54), ('Paul Walter Hauser', 12), ('Ryan Preimesberger', 45), ('Michael Buscemi', 37), ('Corey Hawkins', 10), ('Elise Hudson', 42), ('Frederick Weller', 63), ('Isiah Whitlock Jr.', 64), ('Damaris Lewis', 43), ('Dared Wright', 52), ('Brian Tarantina', 69), ('Faron Salisbury', 48), ('Arthur J. Nascarella', 70), ('Ken Garito', 46), ('Nicholas Turturro', 68), ('Ryan Eggold', 16), ('Gary Ayash', 51), ('Timal McKen', 56), ('McManus Woodend', 47), ('Tejon Wright', 60), ('Tom Stratford', 55), ('Kacie Calhoun', 57), ('Craig muMs Grant', 13), ('Bob Angelini', 59), ('Chris Banks', 44), ('Jarrod LaBine', 58), ('John Mitchell', 49), ('Michael Erik', 61), ('Elizabeth Paige', 50), ('Donald Trump', 82)]",15000000,"['ku klux klan', 'based on novel or book', 'biography', 'based on a true story', 'undercover cop', 'racism', 'based on memoir or autobiography', 'revisionist history', 'black panther party']",True
tt1727824,Bohemian Rhapsody,"[('Rami Malek', 1), ('Gwilym Lee', 3), ('Ben Hardy', 2), ('Joseph Mazzello', 4), ('Lucy Boynton', 5), ('Aidan Gillen', 34), ('Allen Leech', 32), ('Tom Hollander', 35), ('Mike Myers', 23), ('Aaron McCusker', 33), ('Meneka Das', 37), ('Ace Bhatti', 38), ('Priya Blackburn', 76), ('Max Bennett', 56), ('Dermot Murphy', 36), ('Dickie Beau', 39), ('Jack Roth', 92), ('Neil Fox-Roberts', 42), ('Jess Radomska', 75), ('Michelle Duncan', 44), ('Ross Green', 97), ('Bruce Mackinnon', 98), ('Joshua Higgott', 99), ('Pat Lally', 64), ('William Owen', 100), ('Philip Andrew', 57), ('Tim Plester', 94), ('Felipe Bejarano', 95), ('Kieran Hardcastle', 96), ('Martin Oelbermann', 101), ('Ian Gabriel Dumdum', 102), ('Matt Greenwood', 103), ('Royce Cronin', 104), ('James MacLaren', 105), ('Andrew Bowerman', 106), ('Drew P.', 107), ('Haf Gibson', 108), ('Honor Hellon', 109), ('Rosy Benjamin', 110), ('Leila Crerar', 111), ('Katherine Newman', 112), ('Adam Rauf', 58), ('Peter Howe', 113), ('John Ottman', 114), ('James Wallace', 115), ('Matthew Houston', 43), ('Scott Morrison Watson', 63), ('Devlin Lloyd', 59), ('Stefan Kopiecki', 62), ('Garry Summers', 60), ('Matthew Fredricks', 61), ('Ian Jareth Williamson', 65), ('Adam Lazarus', 67), ('Johanna Thea', 66), ('Adam Lambert', 116)]",52000000,"['london, england', 'gay', 'aids', '1970s', 'queen', 'musician', 'biography', 'based on a true story', 'hiv', 'homosexuality', 'singer', 'fame', 'rock band', 'music band', 'lgbt', '1980s', 'parsi']",False
tt5083738,The Favourite,"[('Olivia Colman', 2), ('Emma Stone', 0), ('Rachel Weisz', 1), ('Nicholas Hoult', 11), ('Joe Alwyn', 12), ('Mark Gatiss', 20), ('James Smith', 14), ('Jenny Rainsford', 13), ('Emma Delves', 51), ('Faye Daveney', 52), ('Paul Swaine', 58), ('Jennifer White', 44), ('Lilly-Rose Stevens', 22), ('Denise Mack', 59), ('Willem Dalby', 60), ('Edward Aczel', 45), ('Carolyn Saint-Pé', 15), ('John Locke', 61), ('Everal Walsh', 62), ('Timothy Innes', 46), ('Basil Eidenbenz', 47), ('James Melville', 48), ('Declan Wyer', 49), ('Anthony Dougall', 53), ('Ben English', 54), ('Peter Brookes', 55), ('Wilson Radjou-Pujalte', 50), ('Gavin Henderson', 63), ('Callum Lewin', 64), ('Liam Fleming', 23), ('Angela Hicks', 65), ('Martin Pemberton', 66)]",15000000,"['great britain', 'queen', 'rivalry', 'rabbit', 'lgbt', '18th century', 'duchess', 'aristocracy', 'british monarchy', 'war of the spanish succession', 'drop disease']",True
tt6155172,Roma,"[('Yalitza Aparicio', 4), ('Marina de Tavira', 2), ('Diego Cortina Autrey', 13), ('Carlos Peralta', 28), ('Marco Graf', 3), ('Daniela Demesa', 5), ('Nancy García García', 14), ('Verónica García', 15), ('Fernando Grediaga', 17), ('Jorge Antonio Guerrero', 18), ('José Manuel Guerrero Mendoza', 19), ('Andy Cortés', 16), ('Victor Manuel Resendiz Ruiz', 20), ('Zarela Lizbeth Chinolla Arellano', 21), ('José Luis López Gómez', 22), ('Edwin Mendoza Ramírez', 23), ('Clementina Guadarrama', 24), ('Enoc Leaño', 25), ('Nicolás Peréz Taylor Félix', 26), ('Kjartan Halvorsen', 27)]",15000000,"['1970s', 'mexico city', 'middle class', 'family relationships', 'maid', 'autobiographical', 'master servant relationship', 'domestic worker']",True
tt1517451,A Star Is Born,"[('Bradley Cooper', 0), ('Lady Gaga', 1), ('Sam Elliott', 12), ('Andrew Dice Clay', 13), ('Rafi Gavron', 17), ('Anthony Ramos', 35), ('Dave Chappelle', 14), ('Marlon Williams', 39), ('Brandi Carlile', 40), ('Ron Rifkin', 41), ('Barry Shabaka Henley', 37), ('Michael D. Roberts', 36), ('Michael Harney', 16), ('Rebecca Field', 15), ('Willam Belli', 18), ('Greg Grunberg', 34), ('D.J. ""Shangela"" Pierce', 38), ('Eddie Griffin', 32), ('Drena De Niro', 42), ('Jacob Schick', 43), ('Gabe Fazio', 44), ('Luenell', 33), ('Lukas Nelson', 50), ('Anthony LoGerfo', 51), ('Corey McCormick', 52), ('Logan Metz', 53), ('Tato Melgar', 54), ('Don Roy King', 56), ('Halsey', 25), ('Alec Baldwin', 66)]",36000000,"['country music', 'waitress', 'self-destruction', 'talent', 'pop star', 'concert', 'addiction', 'alcoholism', 'remake', 'death of father', 'aspiring singer', 'singer', 'fame', 'tinnitus', 'falling in love', 'insecurity', 'alcoholic', 'death of mother', 'aspiration', 'death of parent', 'showbiz', 'emotional vulnerability', 'hearing impaired', 'brother brother relationship']",True
tt6266538,Vice,"[('Christian Bale', 1), ('Amy Adams', 2), ('Steve Carell', 3), ('Sam Rockwell', 5), ('Tyler Perry', 8), ('Alison Pill', 7), ('Jesse Plemons', 62), ('Alex MacNicoll', 31), ('Aidan Gail', 69), ('Cailee Spaeny', 56), ('Colyse Harger', 70), ('Lily Rabe', 21), ('Violet Hicks', 71), ('Justin Kirk', 63), ('Don McManus', 6), ('LisaGay Hamilton', 57), ('Stephen Adly Guirgis', 72), ('Matthew Jacobs', 73), ('Shea Whigham', 23), ('Eddie Marsan', 64), ('Stefania LaVie Owen', 22), ('Adam Bartley', 24), ('Kirk Bovill', 9), ('Jillian Armenante', 29), ('Bill Camp', 68), ('Fay Masterson', 25), ('Alfred Molina', 66), ('Naomi Watts', 65), ('Joseph Beck', 74), ('Paul Perri', 75), ('Brandon Sklenar', 27), ('Vanessa Cloke', 28), ('Brandon Firla', 30), ('Abigail Marlowe', 32), ('Jeff Bosley', 34), ('Melody Hollis', 35), ('Pilar Holland', 36), ('Matt Miller', 37), ('Robert L. Hughes', 38), ('Mark Bramhall', 39), ('Tiffany Smith', 61), ('Brandon Bales', 67), ('Sam Massaro', 76), ('Paul Yoo', 77), ('Kevin Flood', 78), ('Mike Pence', 83), ('Hillary Clinton', 84), ('Jimmy Carter', 85), ('Henry Kissinger', 86), ('Barack Obama', 87), ('Gordon Brown', 102)]",60000000,"['washington d.c.', 'the white house', 'war on terror', 'biography', 'iraq war', 'september 11 2001', 'vice president', 'usa politics']",False
tt5580390,The Shape of Water,"[('Sally Hawkins', 13), ('Doug Jones', 7), ('Michael Shannon', 0), ('Richard Jenkins', 11), ('Octavia Spencer', 10), ('Michael Stuhlbarg', 8), ('David Hewlett', 69), ('Nick Searcy', 14), ('Stewart Arnott', 91), ('Nigel Bennett', 70), ('Lauren Lee Smith', 12), ('Martin Roach', 92), ('Allegra Fulton', 83), ('John Kapelos', 48), ('Morgan Kelly', 49), ('Wendy Lyon', 82), ('Madison Ferguson', 51), ('Jayden Greig', 52), ('Deney Forrest', 62), ('Brandon McKnight', 66), ('Dru Viergever', 15), ('Marvin Kaye', 53), ('Jim Pagiamtzis', 58), ('Cameron Laurie', 59), ('Alexey Pankratov', 60), ('Shane Clinton Jarvis', 61), ('Evgeny Akimov', 63), ('Dave Reachill', 64), ('Matthew Mease', 65), ('Amanda Smith', 67), ('Maxine Grossman', 68), ('Edward Tracz', 71), (""Shaila D'Onofrio"", 72), ('Vanessa Oude-Reimerink', 73), ('Sergey Nikonov', 74), ('Jonelle Gunderson', 75), ('Cylde Whitham', 76), ('Dan Lett', 77), ('Danny Waugh', 78), ('Karen Glave', 79), ('Diego Fuentes', 80), ('Cody Ray Thompson', 81)]",19500000,"['cold war', 'baltimore', 'fairy tale', 'government', 'supernatural', 'laboratory', 'orphan', 'bathtub', 'scientist', 'capture', 'sign languages', '1960s', 'fishman', 'amphibious creature']",True
tt5013056,Dunkirk,"[('Fionn Whitehead', 56), ('Tom Glynn-Carney', 61), ('Aneurin Barnard', 45), ('Jack Lowden', 279), ('Harry Styles', 14), (""James D'Arcy"", 44), ('Barry Keoghan', 48), ('Kenneth Branagh', 11), ('Cillian Murphy', 15), ('Mark Rylance', 12), ('Tom Hardy', 13), ('Michael Caine', 278), ('Billy Howle', 285), ('Bobby Lockwood', 47), ('Miranda Nolan', 49), ('Kevin Guthrie', 50), ('Brian Vernel', 51), ('Elliott Tittensor', 52), ('Matthew Marsh', 60), ('Jochum ten Haaf', 58), ('Damien Bonnard', 59), ('Adam Long', 53), ('Michael Fox', 54), ('Harry Richardson', 286), ('Will Attenborough', 55), ('James Bloor', 57), ('Paul Riley Fox', 62), ('Richard Sanderson', 63), ('Valiant Michael', 64), ('Johnny Otto', 66), ('Jan-Michael Rosner', 67), ('Brandon Duracher', 68), ('Samgar Jacobs', 69), ('Robby Prinsen', 70), ('Simon Ates', 72), ('Caleb Bailey', 73), ('Thomas Millet', 74), ('Constantin Balsan', 75), ('Aldo Beqiri', 76), ('Sander Huisman', 77), ('Callum Blake', 78), ('Luke Thompson', 79), ('Crystal Pereyra', 80), ('Bram Vlot', 81), ('Calam Lynch', 82), ('Jack Riddiford', 83), ('Merlijn Willemsen', 84), ('Michel Biel', 85), (""Niels van 't Dek"", 86), ('Nirman Wolf', 87), ('Tom Gill', 88), ('Nick Vorsselman', 90), ('Jedediah Jenk', 91), ('Christian Janner', 92), ('Bradley Hall', 93), ('Jack Gover', 94), ('Davey Jones', 95), ('Charley Palmer Rothwell', 97), ('Kim Hartman', 280), ('Bill Milner', 281), ('Eric Richard', 282), ('Harry Collett', 284), ('Christian Roberts', 289), ('John Nolan', 291)]",100000000,"['france', 'royal air force (raf)', 'beach', 'europe', 'world war ii', 'evacuation', 'pilot', 'british army', 'allies', 'war', 'royal navy', 'based on a true story', 'rescue mission', 'soldier', 'private', 'imax', 'dunkirk']",False
