Const,year_film,year_award,category,film,win,title
tt0036377,1943,1944,Picture,,TRUE,The Song Of Bernadette
tt0036868,1946,1947,Picture,,TRUE,The Best Years Of Our Lives
tt0036872,1944,1945,Picture,,TRUE,Going My Way
tt0037884,1945,1946,Picture,,TRUE,The Lost Weekend
tt0039416,1947,1948,Picture,,TRUE,Gentleman's Agreement
tt0040495,1948,1949,Picture,,TRUE,Johnny Belinda
tt0040897,1948,1949,Picture,,TRUE,The Treasure of the Sierra Madre
tt0041257,1949,1950,Picture,,FALSE,Come To The Stable
tt0042367,1950,1951,Picture,,FALSE,Cyrano de Bergerac (1950)
tt0043014,1950,1951,Picture,,TRUE,Sunset Boulevard
tt0043361,1951,1952,Best Motion Picture - Drama,,FALSE,Bright Victory
tt0043465,1951,1952,Best Motion Picture - Drama,,FALSE,Detective Story
tt0043924,1951,1952,Best Motion Picture - Drama,,TRUE,A Place In The Sun
tt0043949,1951,1952,Best Motion Picture - Drama,,FALSE,Quo Vadis?
tt0044081,1951,1952,Best Motion Picture - Drama,,FALSE,A Streetcar Named Desire (1951)
tt0044509,1952,1953,Best Motion Picture - Drama,,FALSE,"Come Back, Little Sheba"
tt0044672,1952,1953,Best Motion Picture - Drama,,TRUE,The Greatest Show On Earth
tt0044687,1952,1953,Best Motion Picture - Drama,,FALSE,The Happy Time
tt0044706,1952,1953,Best Motion Picture - Drama,,FALSE,High Noon
tt0045230,1952,1953,Best Motion Picture - Drama,,FALSE,The Thief
tt0046247,1953,1954,Best Motion Picture - Drama,,TRUE,"Robe, The"
tt0047296,1954,1955,Best Motion Picture - Drama,,TRUE,On the Waterfront
tt0048028,1955,1956,Best Motion Picture - Drama,,TRUE,East of Eden
tt0049261,1956,1957,Best Motion Picture - Drama,,FALSE,Giant
tt0049456,1956,1957,Best Motion Picture - Drama,,FALSE,Lust For Life
tt0049934,1956,1957,Best Motion Picture - Drama,,FALSE,War and Peace
tt0050083,1957,1958,Best Motion Picture - Drama,,FALSE,12 Angry Men (1957)
tt0050212,1957,1958,Best Motion Picture - Drama,,TRUE,"Bridge on the River Kwai, The"
tt0050933,1957,1958,Best Motion Picture - Drama,,FALSE,Sayonara
tt0051193,1957,1958,Best Motion Picture - Drama,,FALSE,Wild is the Wind
tt0051201,1957,1958,Best Motion Picture - Drama,,FALSE,Witness for the Prosecution
tt0051459,1958,1959,Best Motion Picture - Drama,,FALSE,Cat on a Hot Tin Roof
tt0051525,1958,1959,Best Motion Picture - Drama,,TRUE,"Defiant Ones, The"
tt0051732,1958,1959,Best Motion Picture - Drama,,FALSE,Home Before Dark
tt0051758,1958,1959,Best Motion Picture - Drama,,FALSE,I Want To Live!
tt0052182,1958,1959,Best Motion Picture - Drama,,FALSE,Separate Tables
tt0052561,1959,1960,Best Motion Picture - Drama,,FALSE,Anatomy of a Murder
tt0052618,1959,1960,Best Motion Picture - Drama,,TRUE,Ben-Hur
tt0052738,1959,1960,Best Motion Picture - Drama,,FALSE,"Diary of Anne Frank, The"
tt0053131,1959,1960,Best Motion Picture - Drama,,FALSE,"Nun's Story, The"
tt0053137,1959,1960,Best Motion Picture - Drama,,FALSE,On The Beach
tt0053793,1960,1961,Best Motion Picture - Drama,,FALSE,Elmer Gantry
tt0053946,1960,1961,Best Motion Picture - Drama,,FALSE,Inherit the Wind - 1960
tt0054326,1960,1961,Best Motion Picture - Drama,,FALSE,Sons and Lovers
tt0054331,1960,1961,Best Motion Picture - Drama,,TRUE,Spartacus
tt0054354,1960,1961,Best Motion Picture - Drama,,FALSE,Sunrise at Campobello
tt0054847,1961,1962,Best Motion Picture - Drama,,FALSE,El Cid
tt0054866,1961,1962,Best Motion Picture - Drama,,FALSE,Fanny
tt0054953,1961,1962,Best Motion Picture - Drama,,TRUE,The Guns Of Navarone
tt0055031,1961,1962,Best Motion Picture - Drama,,FALSE,Judgment at Nuremberg
tt0055471,1961,1962,Best Motion Picture - Drama,,FALSE,Splendor in the Grass
tt0055841,1962,1963,Best Motion Picture - Drama,,FALSE,"Chapman Report, The"
tt0055895,1962,1963,Best Motion Picture - Drama,,FALSE,Days of Wine and Roses
tt0055998,1962,1963,Best Motion Picture - Drama,,FALSE,Freud
tt0056063,1962,1963,Best Motion Picture - Drama,,FALSE,Hemingway's Adventures of a Young Man
tt0056172,1962,1963,Best Motion Picture - Drama,,TRUE,Lawrence Of Arabia
tt0056197,1962,1963,Best Motion Picture - Drama,,FALSE,"Longest Day, The"
tt0056241,1962,1963,Best Motion Picture - Drama,,FALSE,"Miracle Worker, The"
tt0056592,1962,1963,Best Motion Picture - Drama,,FALSE,To Kill A Mockingbird
tt0056825,1963,1964,Best Motion Picture - Drama,,FALSE,"America, America"
tt0056903,1963,1964,Best Motion Picture - Drama,,FALSE,"Captain Newman, M.D."
tt0056907,1963,1964,Best Motion Picture - Drama,,TRUE,"Cardinal, The"
tt0056937,1963,1964,Best Motion Picture - Drama,,FALSE,Cleopatra
tt0057115,1963,1964,Best Motion Picture - Drama,,FALSE,"Great Escape, The"
tt0057163,1963,1964,Best Motion Picture - Drama,,FALSE,Hud
tt0057251,1963,1964,Best Motion Picture - Drama,,FALSE,Lilies of the Field
