ID,Title,Bechdel Pass
tt1078175,"American Terrorist:  April 20, 1999",True
tt8151874,Honey Boy,False
tt7545266,Like a Boss,True
tt8461042,The Marijuana Conspiracy,True
tt8579674,1917,False
tt3224458,A Beautiful Day in the Neighborhood,False
tt8385474,A Dog's Journey,True
tt6324278,Abominable,False
tt2935510,Ad Astra,False
tt6141246,The Aeronauts,True
tt4126476,After,True
tt6139732,Aladdin,True
tt0437086,Alita: Battle Angel,True
tt7374948,Always Be My Maybe,True
tt9109492,American Woman,True
tt4426738,Animals,True
tt7456310,Anna,True
tt8350360,Annabelle Comes Home,True
tt7488288,Anya,True
tt1478839,The Art of Racing in the Rain,False
tt1032414,Article 15,False
tt4154796,Avengers: Endgame,True
tt2762506,Bacurau,False
tt0377091,Begotten III: Jesus Wept,False
tt1489887,Booksmart,True
tt7752126,Brightburn,False
tt7671064,Brittany Runs A Marathon,True
tt9239816,Canceled,True
tt4154664,Captain Marvel,True
tt5697572,Cats,True
tt5033998,Charlie's Angels,True
tt7311036,Clementine,True
tt5316540,Close,True
tt5719748,Cold Pursuit,False
tt4477292,Cosmos,False
tt8364368,Crawl,True
tt4913966,The Curse of La Llorona,True
tt6565702,Dark Phoenix,True
tt8022928,Descendants 3,True
tt5606664,Doctor Sleep,True
tt7547410,Dora and the Lost City of Gold,True
tt6398184,Downton Abbey,True
tt9075008,Effigy – Poison and the City,True
tt8637428,The Farewell,True
tt6806448,Fast & Furious Presents: Hobbs & Shaw,False
tt6513120,Fighting with My Family,True
tt6472976,Five Feet Apart,True
tt9617456,For Sama,True
tt1950186,Ford v Ferrari,False
tt4520988,Frozen 2,True
tt1025100,Gemini Man,False
tt6751668,Gisaengchung,True
tt3741700,Godzilla: King of the Monsters,True
tt3864056,The Goldfinch,False
tt7343762,Good Boys,False
tt8858104,Guava Island,False
tt2395469,Gully Boy,False
tt8155288,Happy Death Day 2U,True
tt4648786,Harriet,True
tt7942742,Her Smell,True
tt2386490,How to Train Your Dragon: The Hidden World,False
tt1298644,The Hustle,True
tt5503686,Hustlers,True
tt6292852,I Am Mother,True
tt4687108,In the Tall Grass,False
tt1302006,The Irishman,False
tt2452244,Isn't It Romantic,False
tt7349950,It Chapter 2,True
tt8499102,Jawline,False
tt8669356,Jeanne,True
tt6146586,John Wick: Chapter 3 - Parabellum,False
tt2584384,Jojo Rabbit,True
tt7286456,Joker,True
tt6811018,The Kid Who Would Be King,False
tt7979492,Kim Possible,True
tt7984766,The King,False
tt4729430,Klaus,False
tt1006009,The Knight Before Christmas,True
tt8946378,Knives Out,True
tt8623904,Last Christmas,True
tt6107548,Late Night,True
tt5865326,The Laundromat,True
tt7458762,Le chant du loup,False
tt3513498,The Lego Movie 2: The Second Part,True
tt1019959,Les Miserables,False
tt7984734,The Lighthouse,False
tt6105098,The Lion King,True
tt9204204,Little Joe,True
tt3281548,Little Women,True
tt7616148,Luce,True
tt4682804,Lucy in the Sky,True
tt7958736,Ma,True
tt4777008,Maleficent: Mistress of Evil,True
tt7653254,Marriage Story,False
tt8772262,Midsommar,True
tt6924650,Midway,False
tt5941692,Miss Bala,True
tt6062774,Monos,True
tt0385887,Motherless Brooklyn,True
tt8734872,My Little Pony: Equestria Girls: Spring Breakdown,True
tt8323104,Nancy Drew and the Hidden Staircase,True
tt7131622,Once Upon a Time ... In Hollywood,True
tt7711764,Pentagram,False
tt8201170,The Perfect Date,False
tt0837563,Pet Sematary,True
tt5884052,Pokemon Detective Pikachu,True
tt4139588,Polar,False
tt8613070,Portrait of a Lady on Fire,True
tt8722346,Queen & Slim,False
tt1206885,Rambo: Last Blood,False
tt7798634,Ready or Not,True
tt8179388,Rim of the World,False
tt8510350,Satanic Panic,True
tt3387520,Scary Stories to Tell in the Dark,True
tt8743064,See You Yesterday,True
tt6476140,Serenity,False
tt0448115,Shazam!,True
tt6918220,The Shiny Shrimps,False
tt7315484,The Silence,True
tt8075260,Someone Great,True
tt6078866,Soni,True
tt6320628,Spider-Man: Far from Home,False
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,True
tt1051585,Steven Universe: The Movie,True
tt8484012,Sword of Trust,True
tt9252508,Tall Girl,True
tt1076742,Tekst,False
tt6450804,Terminator: Dark Fate,True
tt3361792,Tolkien,False
tt1979376,Toy Story 4,True
tt1488606,Triple Frontier,False
tt2404465,Troop Zero,True
tt8169552,Turma da Monica: Lacos,False
tt8404614,The Two Popes,False
tt7909970,Unbelievable,True
tt5727208,Uncut Gems,False
tt9632590,Une fille facile,True
tt9024106,Unplanned,True
tt6857112,Us,True
tt7605074,The Wandering Earth (Liu Lang Di Qiu),True
tt9358120,We Are Little Zombies,False
tt7634968,What Men Want,False
tt2365580,"Where'd You Go, Bernadette",True
tt8169446,Wine Country,True
tt8079248,Yesterday,False
tt1560220,Zombieland: Double Tap,True
tt9670282,Zoombies 2,True
tt6142496,6 Balloons,True
tt2368254,A private war,False
tt6644200,A Quiet Place,False
tt7040874,A Simple Favor,True
tt1517451,A Star Is Born,True
tt1620680,A Wrinkle in Time,True
tt5688996,Alex Strangelove,False
tt4244998,Alpha,False
tt6212478,American Animals,False
tt8020896,An Elephant Sitting Still (Da xiang xi di er zuo),False
tt8108198,Andhadhun,False
tt6776106,Andid edlilega (And Breathe Normally),True
tt2798920,Annihilation,True
tt5095030,Ant-Man and the Wasp,True
